session_id,tdoa_12,tdoa_13,tdoa_14,tdoa_23,tdoa_24,tdoa_34,onset_diff_12,onset_diff_13,onset_diff_14,intensity_ratio_12,intensity_ratio_13,intensity_ratio_14,intensity_ratio_24,energy_ratio_1,energy_ratio_2,energy_ratio_3,energy_ratio_4,first_mic,loudest_mic,estimated_direction_deg,duration,rms,db,spectral_centroid,spectral_rolloff,label
60_18,-1.9232083333333334,-1.037625,-0.4412291666666667,0.8856458333333334,-0.9002916666666667,0.5962708333333333,0.7020416666666667,0.8727916666666666,0.8284375,1.0858506603873688,0.9696952002784203,0.7522989807463352,0.6928199320488018,0.17294765483196703,0.26106190514162325,0.2039872049037553,0.36200323512265237,3,4,63.48329628027172,3.0,0.0433065630073144,-27.26892564692428,2536.9777539396337,4958.527260638298,60
60_19,0.47097916666666667,-1.03,1.9423125,0.8778958333333333,1.4712708333333333,0.5929375,0.26425,-1.0303749999999998,-0.43652083333333336,1.0973000188787239,0.8990820957080518,0.7904878491101786,0.7203935437058576,0.2961120078053207,0.21235931594324695,0.17991448680866462,0.3116141894427657,2,4,107.22496088895642,2.989333333333333,0.0568671044490323,-24.902777690412123,2593.510248126083,5066.420151245552,60
60_1,0.37052083333333335,-0.923125,-0.4774583333333333,1.0824375,-0.8479583333333334,-1.9304166666666667,-1.4808125,-0.39041666666666663,0.0005208333333333333,1.0031051582688573,0.9999076041747776,1.1304120749967599,1.1269128322955593,0.1666845637730381,0.24189217195228416,0.24717293648431235,0.3442503277903639,4,3,309.5511181792796,3.0,0.0496293256456808,-26.08523251737735,2613.605155728254,5275.432180851064,60
60_20,0.4753541666666667,1.3472083333333333,-0.411375,0.8718958333333333,-0.88675,-1.758625,-0.006854166666666667,-0.6976666666666667,-0.06385416666666667,1.1761801016674989,0.8823753745557661,0.7360145421484154,0.6257668711647123,0.16372220845336524,0.14845840631774063,0.15039572327210615,0.5374236619567864,1,4,242.17991050177298,3.0,0.0453190345808593,-26.87438700716886,2386.592163285245,4248.91954787234,60
60_21,0.4809583333333333,-1.0507083333333334,-0.3981875,-1.5316458333333334,-0.87925,0.6525208333333333,0.789875,1.3530208333333333,1.4475625,1.1105987872639975,0.9664706205666097,0.8122228381362429,0.7313377679220268,0.16460454822938791,0.15894999227035955,0.34440045341521147,0.332045006085039,4,4,309.4897549884192,3.0,0.0418627281914365,-27.56344944239673,2573.5526818300245,4906.000664893617,60
60_22,0.4664583333333333,-1.0849166666666668,-0.4210833333333333,-1.5513333333333332,-0.8875208333333333,0.6638333333333334,0.46664583333333326,0.7991041666666666,-0.4205,1.0659948383903817,0.9574479827787752,0.78854545454428,0.739727272726171,0.17291342987292196,0.29627848609595037,0.19616538397949193,0.33464270005163366,3,4,310.31163572193714,2.997333333333333,0.0414599597425057,-27.647422478601868,2748.168078007402,5868.351063829788,60
60_23,0.476625,1.2673958333333333,1.9684791666666666,0.7908125,1.4917708333333333,0.683125,0.09841666666666667,-1.1430625,-0.44131250000000005,1.0865113427323358,0.9550525464817411,0.8079237713127349,0.743594419621393,0.305972288614073,0.17638795049315234,0.1617066049738468,0.3559331559189258,2,4,137.32172737335216,2.978666666666667,0.0583939451074404,-24.67264365443714,2569.911304165847,5005.412946428572,60
60_24,0.48604166666666665,1.2409375,-0.4487083333333333,0.7552291666666666,-0.9541041666666666,-1.7092916666666667,-0.025937500000000002,-0.6496041666666666,-6.25e-05,1.125819878907865,0.9665908598639986,0.8117411668397709,0.7210222363683495,0.14707098214297562,0.15256979961936726,0.16653720499936064,0.5338220132382946,1,4,247.0344562579765,3.0,0.0412771439037699,-27.685807210809887,2432.3898447571,4403.839760638298,60
60_25,0.41933333333333334,-1.176625,-0.5266666666666666,0.7434375,-0.9458333333333333,-1.6817708333333334,1.0451249999999999,1.1555833333333332,1.1887708333333333,1.1246890745559759,0.9019487494230702,0.8042506613141315,0.7150871111911232,0.16478977861157842,0.15872716981184284,0.3425229454376585,0.3339601061389183,4,4,311.9954375273999,3.0,0.0422125513174878,-27.49116796754637,2554.7394484969604,4886.968085106383,60
60_26,-1.89675,-1.1330416666666667,-0.505125,0.7637291666666667,-0.9635,0.6278333333333334,0.4580000000000001,0.5822083333333333,0.440875,1.1353910244248435,0.9678773204179868,0.8148953519966159,0.717722207120435,0.19882724889515205,0.29200668333179225,0.1837361756288818,0.32542989214417195,3,4,59.51976314419779,3.0,0.0460320297252074,-26.73879749996668,2605.237645159586,5118.26795212766,60
60_27,0.4279375,1.1772708333333333,1.7993958333333333,0.7493958333333334,-0.9679583333333334,-1.7173958333333332,0.0,-1.0834375,-0.4615208333333333,1.007752422630008,0.8660541586058254,0.7331150225122107,0.7274753263281104,0.23524535044539413,0.15563919161248485,0.15805386655724724,0.4510615913848719,1,4,137.3402822853402,3.0,0.0520325641336655,-25.674495435914693,2421.644420571932,4466.339760638298,60
60_28,0.42052083333333334,-1.1775208333333333,-0.5877916666666667,0.7742916666666667,-1.0081458333333333,-1.7825,-0.10593749999999999,-0.43414583333333334,0.0011041666666666667,1.095417215219366,0.9249378010676879,0.7943717039449887,0.7251773049634587,0.15987770178906655,0.15621790989208234,0.259900149968302,0.42400423835054707,4,4,311.19824297316916,3.0,0.0417426700655524,-27.588395495405287,2583.65680741039,4949.883643617021,60
60_29,0.43364583333333334,-1.1496666666666666,-0.5987083333333333,-1.5833958333333333,-1.0324166666666668,0.551,0.8892291666666666,0.979,0.9114166666666667,1.0592765460889901,0.9234525202161508,0.8088746324500354,0.7636104428394804,0.17804764702468742,0.2313023510177565,0.24402783117453208,0.34662217078302193,3,4,310.25760276424035,3.0,0.0425952478719902,-27.41277700276171,2450.004364937746,4378.740026595745,60
60_2,0.3772083333333333,-0.914,-0.4523333333333333,-1.2995208333333332,-0.829625,0.4617291666666667,-0.6315208333333334,0.0004583333333333333,0.0005,0.9446065490236232,0.9409892036527252,1.009253760885141,1.0684382422785526,0.18460477460210253,0.2930147910076515,0.2506355264370939,0.2717449079531504,4,3,309.473065088648,3.0,0.0488256589311153,-26.227037738620645,2675.2445646881306,5365.192819148936,60
60_30,0.46289583333333334,-1.1426875,-0.5605208333333334,-1.6055833333333334,-1.0232083333333333,0.5822083333333333,0.3667083333333333,-1.140625,-0.15016666666666667,1.0597692453165168,0.9880091694567463,0.7652280797584871,0.7220704725474069,0.25684469555471573,0.2426858944820633,0.17651346883067098,0.3239559411325481,2,4,309.7644757330529,3.0,0.0543543082620687,-25.295320538187376,2457.826899496552,4441.156914893617,60
60_31,0.47841666666666666,1.1934791666666666,-0.6333958333333334,0.7152291666666667,1.2869166666666667,-1.8270416666666667,-0.0012708333333333332,-0.8610208333333333,-0.06297916666666667,1.1058405937375775,0.9878358122891521,0.7784743991628954,0.7039661987177744,0.16904507857495962,0.14452133369172013,0.17020259594033776,0.5162309917929807,1,4,255.86250236228523,3.0,0.0456723279122568,-26.80693703778944,2333.613314953714,3981.299867021277,60
60_32,0.4530416666666667,1.1467708333333333,-0.6822708333333334,0.6938125,-1.135375,-1.8290625,-0.10379166666666667,-0.27139583333333334,0.005791666666666666,1.0319343065671394,0.8460141055766338,0.7205788659313911,0.6982797851996505,0.13411063862947908,0.15307533000158607,0.32105373970417356,0.3917602916647592,4,4,258.4385618747131,3.0,0.0370518794317095,-28.6237951563634,2630.966357639929,5171.376329787234,60
60_33,0.49254166666666666,-1.2073333333333334,-0.658875,-1.69975,-1.1514375,0.5483333333333333,0.7219374999999999,0.8016875,0.7920833333333333,0.9486736214586536,0.961106413816192,0.7220835791086864,0.7611506874166277,0.16934582526240327,0.2920529972417405,0.20049423574049602,0.3381069417553584,3,4,309.0211914312566,3.0,0.0435793610861756,-27.21438282385495,2619.5114379208303,5158.078457446809,60
60_34,0.5529791666666667,-1.2161875,-0.6201666666666666,0.6101666666666666,1.2061458333333333,0.5959166666666667,0.16860416666666667,-1.2164791666666668,-0.62025,1.1955616251253551,0.9775011165681091,0.7992787364180503,0.6685383000081299,0.31285318295708414,0.19186144453103712,0.1769613624172801,0.31832401009459665,2,4,308.0489492288603,3.0,0.0578558317509462,-24.75305716984,2618.195316140773,5020.777925531915,60
60_35,0.5023958333333334,1.0820416666666666,1.6847708333333333,0.5797291666666666,-1.2083333333333333,0.6027083333333333,-0.13560416666666666,-0.7188125,-0.11727083333333334,1.1438341676628725,0.945231020216106,0.7343382219797183,0.6419971030227668,0.15356141454688157,0.14629635983321945,0.15745625271055266,0.5426859729093445,1,4,139.4800229858248,3.0,0.0439020310707537,-27.150307744200653,2641.316550177851,5128.490691489362,60
60_36,0.47922916666666665,-1.3582916666666667,-0.7460625,-1.8375,-1.2250416666666666,-1.8139791666666667,1.1456666666666668,1.0652291666666667,1.2253541666666667,1.0519192913364623,0.9462675004133138,0.7791852729415141,0.7407272395869738,0.16400407989711108,0.1600260344103021,0.33562364047981535,0.34034624521276957,4,4,310.65320133231114,2.997333333333333,0.0424764509630995,-27.43703554055486,2560.53827866064,4838.513962765957,60
60_37,-1.8449791666666666,-1.3567083333333334,-0.716625,0.48825,-1.2436041666666666,0.6401041666666667,0.5267083333333333,0.6029791666666666,-0.02229166666666671,1.1138362760811238,0.9565505072766132,0.7862225243586783,0.7058690233390832,0.1934877018600376,0.29467447517398077,0.1905706000974438,0.3212672228685357,3,4,47.42499726318206,3.0,0.0447769791318882,-26.978904186632064,2703.770194995856,5432.928856382979,60
60_38,-1.8326875,-1.3920416666666666,-0.73075,0.4407083333333333,1.1019166666666667,0.66125,0.0,-1.3435833333333334,-0.7004375,1.1495746533567106,0.9435891796772092,0.7757537404499653,0.6748180626487316,0.30410417585000343,0.17511480707653426,0.1926263353710719,0.3281546817023882,1,4,46.073618422352965,3.0,0.0538624448281225,-25.37427875495521,2472.9432745184117,4395.029920212766,60
60_39,0.475125,0.9505208333333334,1.6085,0.4753125,-1.2735,0.6580416666666666,-1.1954791666666666,-0.7289166666666667,-0.06304166666666666,1.0831160572314473,1.0120023767062887,0.7740059077470864,0.7146103158362456,0.15759572356365387,0.1463384308212641,0.1454564149588739,0.5506094306562064,1,4,138.46586187426232,3.0,0.0427567934043072,-27.379897453081607,2618.474685604096,4898.4375,60
60_3,-1.8955625,-0.9289166666666666,-0.4942916666666667,0.9666458333333333,-0.8960625,0.4346041666666667,0.24083333333333334,0.26735416666666667,0.24281250000000001,0.9659683469018547,0.9787273485641159,1.064576296817317,1.1020819680377016,0.21311218933975482,0.42803259123444304,0.15705019003521845,0.2018050293905824,3,2,63.07727731598139,3.0,0.0590333948955255,-24.57804481247519,2700.8096450629814,5402.509973404255,60
60_40,0.5101458333333333,0.9818958333333333,-0.8120833333333334,-1.948625,-1.3223541666666667,0.6262916666666667,0.5091666666666667,0.9817916666666667,1.07775,1.0928096912833263,0.8947368421036997,0.7658846083610966,0.7008398758433921,0.1570678146049793,0.19462141798061852,0.32684035473902756,0.32147041267537263,4,4,266.3258262843396,3.0,0.0416005179483672,-27.61802524268064,2689.701042689166,5315.907579787234,60
